"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","FIN.NGDPDPC.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","49698.347","48395.834","48827.138","53203.799","50551.801","53069.460","53291.833","56464.358"
"IMF.RES:WEO(9.0.0)","AND.LP.A","OBS_VALUE","Andorra, Principality of","Population, Persons for countries / Index for country groups","Annual","Millions","0.076","0.078","0.078","0.080","0.082","0.085","0.087","0.089"
"IMF.RES:WEO(9.0.0)","FIN.BCA_NGDPD.A","OBS_VALUE","Finland","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.611","-0.138","0.424","0.330","-2.416","-0.917","-0.442","1.256"
"IMF.RES:WEO(9.0.0)","JPN.BCA_NGDPD.A","OBS_VALUE","Japan","Current account balance (credit less debit), Percent of GDP","Annual","Units","3.450","3.362","2.889","3.754","2.021","3.563","4.515","4.829"
"IMF.RES:WEO(9.0.0)","LIE.PCPIPCH.A","OBS_VALUE","Liechtenstein, Principality of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.935","0.363","-0.724","0.583","2.834","2.135","1.060","0.156"
"IMF.RES:WEO(9.0.0)","CAN.BCA_NGDPD.A","OBS_VALUE","Canada","Current account balance (credit less debit), Percent of GDP","Annual","Units","-2.377","-1.953","-2.017","-0.019","-0.458","-0.689","-0.482","-0.937"
"IMF.RES:WEO(9.0.0)","CAN.PCPIPCH.A","OBS_VALUE","Canada","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","2.268","1.949","0.717","3.395","6.779","3.896","2.382","2.078"
"IMF.RES:WEO(9.0.0)","CHE.NGDPDPC.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","87366.692","86231.738","87797.149","96895.469","98220.060","105353.239","108255.920","115620.125"
"IMF.RES:WEO(9.0.0)","CAN.NGDPDPC.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","46617.970","46430.975","43573.195","52907.542","56608.779","55002.356","55209.059","55764.707"
"IMF.RES:WEO(9.0.0)","LIE.BCA_NGDPD.A","OBS_VALUE","Liechtenstein, Principality of","Current account balance (credit less debit), Percent of GDP","Annual","Units","24.003","16.050","17.668","17.002","14.818","14.927","14.397","13.392"
"IMF.RES:WEO(9.0.0)","CHE.PCPIPCH.A","OBS_VALUE","Switzerland","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.935","0.362","-0.725","0.583","2.834","2.135","1.061","0.153"
"IMF.RES:WEO(9.0.0)","CAN.LP.A","OBS_VALUE","Canada","Population, Persons for countries / Index for country groups","Annual","Millions","37.009","37.555","37.998","38.225","38.873","39.936","41.118","41.602"
"IMF.RES:WEO(9.0.0)","IRL.BCA_NGDPD.A","OBS_VALUE","Ireland","Current account balance (credit less debit), Percent of GDP","Annual","Units","4.288","-20.720","-7.079","12.186","8.766","7.035","16.164","8.190"
"IMF.RES:WEO(9.0.0)","ISL.NGDPDPC.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","77963.129","71496.364","62237.431","73220.805","79953.047","84489.560","86485.227","99070.813"
"IMF.RES:WEO(9.0.0)","GRC.PCPIPCH.A","OBS_VALUE","Greece","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.779","0.518","-1.265","0.576","9.297","4.156","2.997","2.889"
"IMF.RES:WEO(9.0.0)","IRL.NGDPDPC.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","80475.227","81525.558","86216.914","103624.405","104719.832","106501.452","112355.758","130652.363"
"IMF.RES:WEO(9.0.0)","AND.BCA_NGDPD.A","OBS_VALUE","Andorra, Principality of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","18.010","15.526","15.022","11.643","14.221","15.941","15.908"
"IMF.RES:WEO(9.0.0)","JPN.PCPIPCH.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.989","0.468","-0.027","-0.235","2.496","3.268","2.739","3.175"
"IMF.RES:WEO(9.0.0)","G163.PCPIPCH.A","OBS_VALUE","Euro Area (EA)","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.755","1.197","0.252","2.587","8.385","5.421","2.366","2.129"
"IMF.RES:WEO(9.0.0)","JPN.LP.A","OBS_VALUE","Japan","Population, Persons for countries / Index for country groups","Annual","Millions","126.495","126.221","125.849","125.492","125.063","124.482","123.890","123.291"
"IMF.RES:WEO(9.0.0)","FIN.LP.A","OBS_VALUE","Finland","Population, Persons for countries / Index for country groups","Annual","Millions","5.513","5.518","5.525","5.534","5.548","5.564","5.604","5.612"
"IMF.RES:WEO(9.0.0)","AND.PCPIPCH.A","OBS_VALUE","Andorra, Principality of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","0.996","0.530","0.092","1.677","6.203","5.607","3.074","2.418"
